Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
97559c44-de61-310e-be16-3f7d841a0742,CHADRON COMMUNITY HOSPITAL CORP,825 CENTENNIAL DRIVE,CRAWFORD,NE,693391143,42.6867264,-103.4133215,3084325586,0.0,268
ebc79c8d-de99-3820-aad0-d5d70ee9ccfa,HARMONY HEALTH AND WELLNESS  LLC,3763 39TH AVE STE 400,COLUMBUS,NE,686014926,41.4301204,-97.3753895,4022760294,0.0,54
ca0bbfa0-8d9a-3370-80fb-ecf1a66277a7,LEXINGTON REGIONAL HEALTH CENTER,1105 N ERIE ST,LEXINGTON,NE,688501504,40.78457491836735,-99.75757183673468,3083248308,0.0,265
2b5b96cd-582c-3024-9d88-b3eccb28f1a0,MITCHELL CARE CENTER,1723 23RD STREET,FREMONT,NE,680252301,41.4338363,-96.4960449,3086231212,0.0,37
da3aeb5c-505f-31c1-9b97-e9196f02ac3d,NEBRASKA URGENT CARE CLINIC  LLC,4720 W HUNTINGTON AVE,LINCOLN,NE,685241528,40.8393173,-96.7866395,4024838610,0.0,4
54635dac-f331-38b3-ad39-7f9152510614,URGENT CARE CLINIC OF LINCOLN PC,4210 PIONEER WOODS DR,LINCOLN,NE,685067561,40.7701732,-96.62132,4024884321,0.0,4
1d54f2bd-d2e6-3f5c-912a-15935b1b19b0,LEGEND BUTTES HEALTH SERVICES-,P.O. BOX 272  11 PADDOCK ST.,CRAWFORD,NE,693391143,42.6867264,-103.4133215,3086651770,0.0,27
ff1d0c6e-88fd-3b4c-9ba0-c4547751a820,ARBOR HEIGHTS FAMILY MEDICINE  P.C.,8720 FREDERICK ST,OMAHA,NE,681243071,41.23101644863886,-96.04940502604562,4023970700,0.0,39
b40f0b98-6840-3fce-b221-8c8213ade4c4,YORK GENERAL HOSPITAL,2222 N LINCOLN AVE,YORK,NE,684671030,40.88234975,-97.59223163245414,4023626671,0.0,2
2a2db455-e190-318d-ad83-c72240305f20,CHARLES DREW HEALTH CENTER  INC.,5190 SPRAGUE PLZ STE 201,OMAHA,NE,681042891,41.2960486,-96.0774563036741,4024523725,0.0,85
fc12843e-95a0-37d1-85f3-722f03266553,CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER - B,7500 MERCY RD,OMAHA,NE,681313654,41.2395005,-96.03112319371702,4023986060,0.0,163
28b67201-90d9-3788-ba79-e4d2ed7aa273,GOOD SAMARITAN SOCIETY - AUBURN,1322 U STREET,AUBURN,NE,683053215,40.3907421,-95.8547848,4022744954,0.0,12
7800eefb-ca02-3d7e-aeed-e3df06669f4d,THE FAMILY DOC  LLC,2211 CAPEHART RD STE 103,BELLEVUE,NE,681232164,41.118386696969694,-95.94337445454545,4029334111,0.0,270
7ca16da1-3878-3e59-8077-7d02ca4cf726,FALLBROOK FAMILY HEALTH CENTER,755 FALLBROOK BLVD,LINCOLN,NE,685214643,40.8764221,-96.73131705264063,4024413575,0.0,97
a923f423-8f78-37a3-aaee-d3b818124a96,FAITH REGIONAL HEALTH SERVICES,2700 W NORFOLK AVE,NORFOLK,NE,687014438,42.03465185,-97.45340715393505,4023714880,0.0,202
e145efa4-9ccd-3c8b-896d-07f95e846c66,HOLMES LAKE REHABILITATION & CARE CENTER,6101 NORMAL BLVD,LINCOLN,NE,685062767,40.78674315,-96.63641846363515,4024897175,0.0,4
